State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
LA,117.0,408.0,,,0.0,184.5,,31.37,351.6,,29.89,215.8,90.0,,8.7,4.0,2.35,1.0,False
,65.0,,No,No,0.0,,137.0,21.95,228.5,,19.42,208.8,111.0,9.4,,6.0,3.43,4.0,True
NY,,415.0,No,No,0.0,332.9,,,317.8,97.0,27.01,160.6,,7.23,5.4,,,4.0,True
SC,111.0,415.0,,No,0.0,110.4,103.0,18.77,137.3,102.0,11.67,,105.0,8.53,7.7,6.0,2.08,,False
HI,49.0,510.0,No,,,,117.0,20.28,215.1,,18.28,,90.0,8.04,11.1,1.0,3.0,1.0,False
AK,36.0,408.0,No,,30.0,146.3,,24.87,,80.0,13.81,129.3,,5.82,14.5,,,,False
MI,65.0,415.0,No,No,0.0,211.3,120.0,,162.6,,13.82,,118.0,6.06,13.2,,,,False
,119.0,415.0,,No,0.0,159.1,,27.05,231.3,117.0,,143.2,91.0,6.44,8.8,3.0,2.38,5.0,True
VA,10.0,408.0,No,No,0.0,186.1,112.0,31.64,190.2,66.0,,282.8,57.0,12.73,11.4,6.0,,2.0,False
,68.0,415.0,No,No,0.0,148.8,70.0,25.3,246.5,164.0,,129.8,103.0,5.84,12.1,3.0,,3.0,False
MN,,510.0,,Yes,33.0,193.7,,,,96.0,20.92,138.0,,,14.6,3.0,,2.0,False
HI,85.0,415.0,No,No,0.0,235.8,109.0,,157.2,94.0,13.36,188.2,99.0,8.47,12.0,3.0,,0.0,False
MN,46.0,415.0,No,No,0.0,214.1,,,,104.0,13.97,177.5,,,8.2,3.0,2.21,2.0,False
VT,128.0,510.0,No,Yes,29.0,179.3,104.0,30.48,225.9,86.0,19.2,323.0,78.0,14.54,8.6,,2.32,0.0,False
LA,155.0,415.0,No,,0.0,203.4,100.0,34.58,190.9,104.0,16.23,196.0,119.0,8.82,8.9,,,0.0,True
MT,,415.0,No,,0.0,,110.0,27.22,,,18.13,174.1,72.0,7.83,13.0,4.0,3.51,0.0,False
ID,77.0,,,No,0.0,251.8,72.0,,205.7,126.0,17.48,275.2,109.0,12.38,9.8,7.0,,2.0,True
MA,108.0,415.0,No,No,0.0,178.3,137.0,30.31,189.0,76.0,,129.1,,5.81,14.6,5.0,3.94,0.0,False
KY,,,,,0.0,135.0,,,,106.0,,245.3,102.0,,,9.0,3.38,1.0,False
MI,36.0,,No,Yes,29.0,281.4,,47.84,202.2,76.0,17.19,187.2,113.0,,9.0,6.0,2.43,2.0,False
CO,,415.0,No,Yes,32.0,148.6,91.0,25.26,131.1,97.0,11.14,,142.0,9.87,10.1,1.0,2.73,1.0,False
AZ,63.0,,No,No,0.0,58.9,125.0,10.01,,59.0,14.42,211.4,88.0,,9.4,3.0,,1.0,False
ID,,,No,No,0.0,239.8,125.0,40.77,214.8,111.0,18.26,143.3,81.0,6.45,8.7,5.0,2.35,2.0,False
CA,75.0,408.0,,No,,166.3,125.0,28.27,158.2,,13.45,256.7,80.0,11.55,6.1,5.0,1.65,1.0,False
WA,127.0,408.0,No,,0.0,146.7,,24.94,203.5,78.0,,203.4,,9.15,13.7,3.0,3.7,1.0,False
LA,121.0,408.0,No,No,0.0,181.5,121.0,30.86,218.4,98.0,18.56,161.6,103.0,7.27,,5.0,2.3,1.0,False
NE,,,No,No,0.0,102.8,119.0,17.48,206.7,91.0,17.57,299.0,105.0,,10.1,7.0,2.73,1.0,False
OH,65.0,408.0,No,No,0.0,187.9,116.0,31.94,,117.0,,,,10.23,7.5,6.0,,1.0,False
MO,6.0,,No,No,,183.6,117.0,31.21,256.7,72.0,21.82,178.6,79.0,8.04,10.2,2.0,2.75,,False
AL,32.0,510.0,No,No,0.0,230.9,87.0,39.25,187.4,90.0,15.93,154.0,53.0,,,2.0,1.7,0.0,False
NH,64.0,408.0,,Yes,27.0,,91.0,30.96,169.7,98.0,14.42,164.7,86.0,7.41,10.6,,,2.0,False
NM,25.0,415.0,No,No,0.0,119.3,87.0,20.28,211.5,101.0,17.98,268.9,86.0,12.1,10.5,4.0,2.84,3.0,False
OR,65.0,,No,No,0.0,116.8,87.0,19.86,178.9,93.0,15.21,182.4,150.0,8.21,,,,1.0,False
MI,127.0,415.0,No,No,,202.1,103.0,34.36,229.4,86.0,19.5,195.2,,8.78,,3.0,3.11,2.0,False
AZ,93.0,415.0,No,No,,271.6,71.0,46.17,229.4,108.0,,,121.0,3.48,10.9,3.0,,2.0,False
TX,208.0,510.0,,No,0.0,326.5,67.0,55.51,176.3,113.0,,181.7,,8.18,,6.0,2.89,2.0,True
IN,122.0,415.0,No,,0.0,243.8,98.0,,83.9,72.0,7.13,179.8,84.0,8.09,13.7,8.0,,2.0,False
LA,,415.0,No,,0.0,,72.0,40.99,155.6,98.0,13.23,188.2,109.0,8.47,11.6,,3.13,1.0,False
MS,,415.0,No,No,0.0,,112.0,23.14,272.9,,23.2,220.2,104.0,9.91,4.4,2.0,,1.0,False
,65.0,,No,No,0.0,213.4,111.0,36.28,234.5,94.0,19.93,250.1,123.0,11.25,2.7,4.0,0.73,1.0,False
,45.0,415.0,No,,22.0,196.6,84.0,33.42,313.2,,26.62,163.3,108.0,,,3.0,,0.0,False
MN,139.0,,No,No,0.0,,,22.85,211.3,,17.96,193.6,125.0,8.71,,2.0,,5.0,True
WY,215.0,510.0,No,No,0.0,83.6,148.0,14.21,120.9,91.0,10.28,,110.0,10.2,10.7,,2.89,0.0,False
,94.0,408.0,No,No,0.0,,85.0,30.91,202.4,98.0,17.2,245.9,,11.07,,2.0,,4.0,False
NM,,510.0,,Yes,23.0,,114.0,,278.0,137.0,23.63,228.4,112.0,10.28,11.8,4.0,,2.0,False
MI,86.0,510.0,No,Yes,41.0,119.0,101.0,20.23,,134.0,19.55,236.9,,10.66,9.5,,,0.0,False
FL,106.0,408.0,No,Yes,32.0,165.9,126.0,28.2,216.5,93.0,18.4,173.1,,,14.1,8.0,3.81,4.0,False
KS,92.0,408.0,,No,0.0,62.6,,10.64,,126.0,,221.7,,9.98,10.4,,2.81,1.0,True
SC,78.0,510.0,No,,,168.3,110.0,28.61,221.2,73.0,18.8,241.0,136.0,,12.5,1.0,3.38,,False
NC,155.0,408.0,No,No,0.0,262.4,55.0,44.61,194.6,113.0,16.54,146.5,85.0,6.59,8.3,6.0,2.24,,False
MO,64.0,510.0,No,,48.0,94.4,104.0,16.05,136.2,101.0,11.58,147.4,89.0,6.63,,4.0,1.22,0.0,False
WA,83.0,415.0,No,,0.0,,103.0,37.64,,103.0,19.7,,,5.51,9.8,5.0,2.65,3.0,False
,144.0,408.0,No,Yes,48.0,189.8,96.0,32.27,123.4,67.0,10.49,214.2,,9.64,6.5,2.0,,,True
